model,corpus,size,step,threshold,tolerance,parameters,training_seconds,node_recall,node_precision,nodes_exact,edge_recall,edge_precision,records_exact
d2g,rectilinear,s-deep,8000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,8000,,2,19393749,38083,49.49,43.66,0.90,11.36,10.72,0.00
d2g,rectilinear,s-deep,8000,,4,19393749,38083,49.50,43.67,0.90,11.36,10.72,0.00
d2g,rectilinear,s-deep,8000,,8,19393749,38083,49.60,43.75,0.90,11.37,10.73,0.00
d2g,rectilinear,s-deep,16000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,16000,,2,19393749,38083,78.30,80.45,13.11,59.19,61.73,7.01
d2g,rectilinear,s-deep,16000,,4,19393749,38083,78.31,80.46,13.11,59.19,61.73,7.01
d2g,rectilinear,s-deep,16000,,8,19393749,38083,78.45,80.61,13.13,59.28,61.83,7.03
d2g,rectilinear,s-deep,24000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,24000,,2,19393749,38083,83.44,85.86,17.68,70.68,73.47,11.57
d2g,rectilinear,s-deep,24000,,4,19393749,38083,83.44,85.86,17.68,70.68,73.47,11.57
d2g,rectilinear,s-deep,24000,,8,19393749,38083,83.59,86.02,17.68,70.79,73.58,11.57
d2g,rectilinear,s-deep,32000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,32000,,2,19393749,38083,83.60,88.55,17.65,74.17,79.04,13.26
d2g,rectilinear,s-deep,32000,,4,19393749,38083,83.61,88.57,17.65,74.17,79.05,13.26
d2g,rectilinear,s-deep,32000,,8,19393749,38083,83.72,88.68,17.65,74.25,79.13,13.26
d2g,rectilinear,s-deep,40000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,40000,,2,19393749,38083,86.25,91.29,21.19,79.23,84.06,16.89
d2g,rectilinear,s-deep,40000,,4,19393749,38083,86.26,91.30,21.19,79.23,84.07,16.89
d2g,rectilinear,s-deep,40000,,8,19393749,38083,86.35,91.40,21.22,79.30,84.14,16.89
d2g,rectilinear,s-deep,48000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,48000,,2,19393749,38083,86.16,88.85,20.90,79.91,82.67,17.41
d2g,rectilinear,s-deep,48000,,4,19393749,38083,86.18,88.88,20.95,79.92,82.68,17.46
d2g,rectilinear,s-deep,48000,,8,19393749,38083,86.34,89.04,21.17,80.02,82.78,17.58
d2g,rectilinear,s-deep,56000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,56000,,2,19393749,38083,87.75,90.08,23.10,82.50,85.05,18.97
d2g,rectilinear,s-deep,56000,,4,19393749,38083,87.80,90.13,23.29,82.53,85.08,19.09
d2g,rectilinear,s-deep,56000,,8,19393749,38083,88.04,90.37,23.85,82.71,85.27,19.46
d2g,rectilinear,s-deep,64000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,64000,,2,19393749,38083,88.61,90.16,24.68,84.53,86.23,21.70
d2g,rectilinear,s-deep,64000,,4,19393749,38083,88.75,90.31,25.46,84.63,86.33,22.31
d2g,rectilinear,s-deep,64000,,8,19393749,38083,89.18,90.75,27.54,84.94,86.65,24.07
d2g,rectilinear,s-deep,72000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,72000,,2,19393749,38083,87.78,88.59,23.66,83.05,84.15,20.75
d2g,rectilinear,s-deep,72000,,4,19393749,38083,88.03,88.84,24.76,83.22,84.32,21.68
d2g,rectilinear,s-deep,72000,,8,19393749,38083,88.74,89.56,28.25,83.74,84.85,24.51
d2g,rectilinear,s-deep,80000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,80000,,2,19393749,38083,88.77,89.68,25.34,84.90,86.36,22.46
d2g,rectilinear,s-deep,80000,,4,19393749,38083,89.12,90.03,27.20,85.16,86.62,24.12
d2g,rectilinear,s-deep,80000,,8,19393749,38083,90.01,90.93,32.32,85.82,87.30,28.44
d2g,rectilinear,s-deep,88000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,88000,,2,19393749,38083,89.49,90.95,27.15,86.01,87.79,24.24
d2g,rectilinear,s-deep,88000,,4,19393749,38083,89.96,91.43,29.86,86.39,88.18,26.66
d2g,rectilinear,s-deep,88000,,8,19393749,38083,91.08,92.57,36.04,87.25,89.06,31.98
d2g,rectilinear,s-deep,96000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,96000,,2,19393749,38083,89.85,90.85,28.56,86.91,88.00,26.05
d2g,rectilinear,s-deep,96000,,4,19393749,38083,90.53,91.53,32.08,87.45,88.56,29.13
d2g,rectilinear,s-deep,96000,,8,19393749,38083,92.02,93.04,41.36,88.66,89.78,37.13
d2g,rectilinear,s-deep,104000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,104000,,2,19393749,38083,90.47,90.85,30.79,87.31,87.59,27.08
d2g,rectilinear,s-deep,104000,,4,19393749,38083,91.23,91.61,35.08,87.96,88.25,30.54
d2g,rectilinear,s-deep,104000,,8,19393749,38083,92.82,93.21,45.26,89.30,89.58,38.67
d2g,rectilinear,s-deep,112000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,112000,,2,19393749,38083,90.70,91.67,32.08,87.88,88.98,28.66
d2g,rectilinear,s-deep,112000,,4,19393749,38083,91.65,92.63,37.74,88.68,89.78,33.69
d2g,rectilinear,s-deep,112000,,8,19393749,38083,93.28,94.28,48.56,90.05,91.18,42.94
d2g,rectilinear,s-deep,120000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,120000,,2,19393749,38083,91.27,91.78,34.33,88.69,89.72,31.25
d2g,rectilinear,s-deep,120000,,4,19393749,38083,92.43,92.94,41.31,89.65,90.69,37.28
d2g,rectilinear,s-deep,120000,,8,19393749,38083,94.14,94.66,53.39,91.09,92.15,47.22
d2g,rectilinear,s-deep,128000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,128000,,2,19393749,38083,91.47,92.42,36.01,88.59,89.99,32.20
d2g,rectilinear,s-deep,128000,,4,19393749,38083,92.61,93.57,43.02,89.56,90.98,38.16
d2g,rectilinear,s-deep,128000,,8,19393749,38083,94.21,95.19,54.15,90.92,92.36,47.56
d2g,rectilinear,s-deep,136000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,136000,,2,19393749,38083,92.11,92.10,37.33,89.32,89.73,34.23
d2g,rectilinear,s-deep,136000,,4,19393749,38083,93.39,93.37,45.83,90.45,90.86,41.43
d2g,rectilinear,s-deep,136000,,8,19393749,38083,94.97,94.95,57.30,91.84,92.26,50.90
d2g,rectilinear,s-deep,144000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,144000,,2,19393749,38083,93.08,93.22,43.36,90.81,91.14,40.16
d2g,rectilinear,s-deep,144000,,4,19393749,38083,94.57,94.71,53.64,92.15,92.48,49.05
d2g,rectilinear,s-deep,144000,,8,19393749,38083,96.00,96.15,64.72,93.42,93.75,58.52
d2g,rectilinear,s-deep,152000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,152000,,2,19393749,38083,94.06,94.17,48.49,92.54,92.73,45.63
d2g,rectilinear,s-deep,152000,,4,19393749,38083,95.75,95.86,61.11,94.09,94.28,57.18
d2g,rectilinear,s-deep,152000,,8,19393749,38083,97.10,97.21,72.88,95.33,95.53,67.58
d2g,rectilinear,s-deep,160000,,0,19393749,38083,0.00,0.00,0.00,0.00,0.00,0.00
d2g,rectilinear,s-deep,160000,,2,19393749,38083,94.75,94.75,51.98,93.54,93.66,49.02
d2g,rectilinear,s-deep,160000,,4,19393749,38083,96.47,96.46,66.14,95.12,95.24,62.08
d2g,rectilinear,s-deep,160000,,8,19393749,38083,97.77,97.77,77.54,96.31,96.43,72.17
