iteration,DETR nodes found @0 px (%),DETR nodes right @0 px (%),DETR records exactly right @0 px (%),DETR nodes found @2 px (%),DETR nodes right @2 px (%),DETR records exactly right @2 px (%),DETR nodes found @4 px (%),DETR nodes right @4 px (%),DETR records exactly right @4 px (%),DETR nodes found @8 px (%),DETR nodes right @8 px (%),DETR records exactly right @8 px (%),EGTR-scratch records the right length (%),EGTR-scratch nodes found @0 px (%),EGTR-scratch nodes right @0 px (%),EGTR-scratch relationships found @0 px (%),EGTR-scratch relationships right @0 px (%),EGTR-scratch records exactly right @0 px (%),EGTR-scratch nodes found @2 px (%),EGTR-scratch nodes right @2 px (%),EGTR-scratch relationships found @2 px (%),EGTR-scratch relationships right @2 px (%),EGTR-scratch records exactly right @2 px (%),EGTR-scratch nodes found @4 px (%),EGTR-scratch nodes right @4 px (%),EGTR-scratch relationships found @4 px (%),EGTR-scratch relationships right @4 px (%),EGTR-scratch records exactly right @4 px (%),EGTR-scratch nodes found @8 px (%),EGTR-scratch nodes right @8 px (%),EGTR-scratch relationships found @8 px (%),EGTR-scratch relationships right @8 px (%),EGTR-scratch records exactly right @8 px (%),D2G-no-passthrough records the right length (%),D2G-no-passthrough nodes found @0 px (%),D2G-no-passthrough nodes right @0 px (%),D2G-no-passthrough relationships found @0 px (%),D2G-no-passthrough relationships right @0 px (%),D2G-no-passthrough records exactly right @0 px (%),D2G-no-passthrough nodes found @2 px (%),D2G-no-passthrough nodes right @2 px (%),D2G-no-passthrough relationships found @2 px (%),D2G-no-passthrough relationships right @2 px (%),D2G-no-passthrough records exactly right @2 px (%),D2G-no-passthrough nodes found @4 px (%),D2G-no-passthrough nodes right @4 px (%),D2G-no-passthrough relationships found @4 px (%),D2G-no-passthrough relationships right @4 px (%),D2G-no-passthrough records exactly right @4 px (%),D2G-no-passthrough nodes found @8 px (%),D2G-no-passthrough nodes right @8 px (%),D2G-no-passthrough relationships found @8 px (%),D2G-no-passthrough relationships right @8 px (%),D2G-no-passthrough records exactly right @8 px (%),D2G-as-published records the right length (%),D2G-as-published nodes found @0 px (%),D2G-as-published nodes right @0 px (%),D2G-as-published relationships found @0 px (%),D2G-as-published relationships right @0 px (%),D2G-as-published records exactly right @0 px (%),D2G-as-published nodes found @2 px (%),D2G-as-published nodes right @2 px (%),D2G-as-published relationships found @2 px (%),D2G-as-published relationships right @2 px (%),D2G-as-published records exactly right @2 px (%),D2G-as-published nodes found @4 px (%),D2G-as-published nodes right @4 px (%),D2G-as-published relationships found @4 px (%),D2G-as-published relationships right @4 px (%),D2G-as-published records exactly right @4 px (%),D2G-as-published nodes found @8 px (%),D2G-as-published nodes right @8 px (%),D2G-as-published relationships found @8 px (%),D2G-as-published relationships right @8 px (%),D2G-as-published records exactly right @8 px (%),EGTR-from-detector records the right length (%),EGTR-from-detector nodes found @0 px (%),EGTR-from-detector nodes right @0 px (%),EGTR-from-detector relationships found @0 px (%),EGTR-from-detector relationships right @0 px (%),EGTR-from-detector records exactly right @0 px (%),EGTR-from-detector nodes found @2 px (%),EGTR-from-detector nodes right @2 px (%),EGTR-from-detector relationships found @2 px (%),EGTR-from-detector relationships right @2 px (%),EGTR-from-detector records exactly right @2 px (%),EGTR-from-detector nodes found @4 px (%),EGTR-from-detector nodes right @4 px (%),EGTR-from-detector relationships found @4 px (%),EGTR-from-detector relationships right @4 px (%),EGTR-from-detector records exactly right @4 px (%),EGTR-from-detector nodes found @8 px (%),EGTR-from-detector nodes right @8 px (%),EGTR-from-detector relationships found @8 px (%),EGTR-from-detector relationships right @8 px (%),EGTR-from-detector records exactly right @8 px (%),DETR nodes found @0 px (count),DETR nodes right @0 px (count),DETR records exactly right @0 px (count),DETR nodes found @2 px (count),DETR nodes right @2 px (count),DETR records exactly right @2 px (count),DETR nodes found @4 px (count),DETR nodes right @4 px (count),DETR records exactly right @4 px (count),DETR nodes found @8 px (count),DETR nodes right @8 px (count),DETR records exactly right @8 px (count),EGTR-scratch records the right length (count),EGTR-scratch nodes found @0 px (count),EGTR-scratch nodes right @0 px (count),EGTR-scratch relationships found @0 px (count),EGTR-scratch relationships right @0 px (count),EGTR-scratch records exactly right @0 px (count),EGTR-scratch nodes found @2 px (count),EGTR-scratch nodes right @2 px (count),EGTR-scratch relationships found @2 px (count),EGTR-scratch relationships right @2 px (count),EGTR-scratch records exactly right @2 px (count),EGTR-scratch nodes found @4 px (count),EGTR-scratch nodes right @4 px (count),EGTR-scratch relationships found @4 px (count),EGTR-scratch relationships right @4 px (count),EGTR-scratch records exactly right @4 px (count),EGTR-scratch nodes found @8 px (count),EGTR-scratch nodes right @8 px (count),EGTR-scratch relationships found @8 px (count),EGTR-scratch relationships right @8 px (count),EGTR-scratch records exactly right @8 px (count),D2G-no-passthrough records the right length (count),D2G-no-passthrough nodes found @0 px (count),D2G-no-passthrough nodes right @0 px (count),D2G-no-passthrough relationships found @0 px (count),D2G-no-passthrough relationships right @0 px (count),D2G-no-passthrough records exactly right @0 px (count),D2G-no-passthrough nodes found @2 px (count),D2G-no-passthrough nodes right @2 px (count),D2G-no-passthrough relationships found @2 px (count),D2G-no-passthrough relationships right @2 px (count),D2G-no-passthrough records exactly right @2 px (count),D2G-no-passthrough nodes found @4 px (count),D2G-no-passthrough nodes right @4 px (count),D2G-no-passthrough relationships found @4 px (count),D2G-no-passthrough relationships right @4 px (count),D2G-no-passthrough records exactly right @4 px (count),D2G-no-passthrough nodes found @8 px (count),D2G-no-passthrough nodes right @8 px (count),D2G-no-passthrough relationships found @8 px (count),D2G-no-passthrough relationships right @8 px (count),D2G-no-passthrough records exactly right @8 px (count),D2G-as-published records the right length (count),D2G-as-published nodes found @0 px (count),D2G-as-published nodes right @0 px (count),D2G-as-published relationships found @0 px (count),D2G-as-published relationships right @0 px (count),D2G-as-published records exactly right @0 px (count),D2G-as-published nodes found @2 px (count),D2G-as-published nodes right @2 px (count),D2G-as-published relationships found @2 px (count),D2G-as-published relationships right @2 px (count),D2G-as-published records exactly right @2 px (count),D2G-as-published nodes found @4 px (count),D2G-as-published nodes right @4 px (count),D2G-as-published relationships found @4 px (count),D2G-as-published relationships right @4 px (count),D2G-as-published records exactly right @4 px (count),D2G-as-published nodes found @8 px (count),D2G-as-published nodes right @8 px (count),D2G-as-published relationships found @8 px (count),D2G-as-published relationships right @8 px (count),D2G-as-published records exactly right @8 px (count),EGTR-from-detector records the right length (count),EGTR-from-detector nodes found @0 px (count),EGTR-from-detector nodes right @0 px (count),EGTR-from-detector relationships found @0 px (count),EGTR-from-detector relationships right @0 px (count),EGTR-from-detector records exactly right @0 px (count),EGTR-from-detector nodes found @2 px (count),EGTR-from-detector nodes right @2 px (count),EGTR-from-detector relationships found @2 px (count),EGTR-from-detector relationships right @2 px (count),EGTR-from-detector records exactly right @2 px (count),EGTR-from-detector nodes found @4 px (count),EGTR-from-detector nodes right @4 px (count),EGTR-from-detector relationships found @4 px (count),EGTR-from-detector relationships right @4 px (count),EGTR-from-detector records exactly right @4 px (count),EGTR-from-detector nodes found @8 px (count),EGTR-from-detector nodes right @8 px (count),EGTR-from-detector relationships found @8 px (count),EGTR-from-detector relationships right @8 px (count),EGTR-from-detector records exactly right @8 px (count)
10000,0.0,0.0,0.0,5.0,17.0,0.0,15.0,51.1,0.0,24.7,83.9,0.0,0.0,0.0,0.0,0.0,NaN,0.0,7.7,27.6,0.0,NaN,0.0,18.1,65.0,0.0,NaN,0.0,23.7,85.3,0.0,NaN,0.0,88.6,0.0,0.0,0.0,0.0,0.0,60.8,61.4,25.2,25.5,0.0,61.3,61.9,25.3,25.6,0.0,62.2,62.8,25.5,25.8,0.0,80.3,0.0,0.0,0.0,0.0,0.0,39.8,39.1,16.6,16.7,0.0,41.6,40.9,17.6,17.7,0.0,44.2,43.5,19.3,19.4,0.0,98.8,0.0,0.0,0.0,0.0,0.0,97.2,97.2,95.1,95.3,84.2,99.7,99.6,99.4,99.5,98.0,99.9,99.8,99.6,99.7,98.4,0/7535,0/2219,0/1024,377/7535,377/2219,0/1024,1134/7535,1134/2219,0/1024,1862/7535,1862/2219,0/1024,0/1024,0/7535,0/2094,0/7535,0/0,0/1024,578/7535,578/2094,0/7535,0/0,0/1024,1362/7535,1362/2094,0/7535,0/0,0/1024,1786/7535,1786/2094,0/7535,0/0,0/1024,907/1024,0/7535,0/7464,0/7535,0/7447,0/1024,4582/7535,4582/7464,1897/7535,1897/7447,0/1024,4617/7535,4617/7464,1909/7535,1909/7447,0/1024,4686/7535,4686/7464,1920/7535,1920/7447,0/1024,822/1024,0/7535,0/7657,0/7535,0/7503,0/1024,2997/7535,2997/7657,1252/7535,1252/7503,0/1024,3135/7535,3135/7657,1328/7535,1328/7503,0/1024,3328/7535,3328/7657,1452/7535,1452/7503,0/1024,1012/1024,0/7535,0/7536,0/7535,0/7525,0/1024,7325/7535,7325/7536,7168/7535,7168/7525,862/1024,7509/7535,7509/7536,7488/7535,7488/7525,1004/1024,7524/7535,7524/7536,7506/7535,7506/7525,1008/1024
20000,0.0,0.0,0.0,44.3,61.0,0.0,65.2,89.8,0.0,71.4,98.3,0.0,39.8,0.0,0.0,0.0,0.0,0.0,52.0,54.0,32.6,39.0,1.4,80.1,83.3,64.2,76.8,16.5,92.9,96.6,80.7,96.4,37.0,93.0,0.0,0.0,0.0,0.0,0.0,85.3,86.1,68.8,69.4,14.1,88.6,89.5,69.8,70.5,15.5,90.4,91.2,70.4,71.1,16.4,98.0,0.0,0.0,0.0,0.0,0.0,69.8,69.7,10.0,10.0,0.0,73.1,73.0,10.6,10.6,0.0,76.1,76.0,11.1,11.1,0.0,99.4,0.0,0.0,0.0,0.0,0.0,98.5,98.5,97.6,97.7,91.5,99.7,99.7,99.5,99.6,98.7,99.9,99.9,99.7,99.8,99.2,0/7535,0/5473,0/1024,3337/7535,3337/5473,0/1024,4915/7535,4915/5473,0/1024,5381/7535,5381/5473,0/1024,408/1024,0/7535,0/7247,0/7535,0/6302,0/1024,3917/7535,3917/7247,2457/7535,2457/6302,14/1024,6037/7535,6037/7247,4841/7535,4841/6302,169/1024,7002/7535,7002/7247,6078/7535,6078/6302,379/1024,952/1024,0/7535,0/7463,0/7535,0/7463,0/1024,6425/7535,6425/7463,5181/7535,5181/7463,144/1024,6676/7535,6676/7463,5263/7535,5263/7463,159/1024,6808/7535,6808/7463,5303/7535,5303/7463,168/1024,1004/1024,0/7535,0/7543,0/7535,0/7541,0/1024,5258/7535,5258/7543,751/7535,751/7541,0/1024,5509/7535,5509/7543,800/7535,800/7541,0/1024,5735/7535,5735/7543,839/7535,839/7541,0/1024,1018/1024,0/7535,0/7536,0/7535,0/7530,0/1024,7422/7535,7422/7536,7355/7535,7355/7530,937/1024,7511/7535,7511/7536,7500/7535,7500/7530,1011/1024,7525/7535,7525/7536,7516/7535,7516/7530,1016/1024
30000,0.0,0.0,0.0,54.3,74.7,0.0,69.8,96.0,0.0,72.1,99.1,0.0,93.5,0.0,0.0,0.0,0.0,0.0,78.8,79.3,66.9,67.5,27.9,97.3,97.8,95.5,96.3,84.7,99.1,99.7,98.8,99.6,92.8,98.3,0.0,0.0,0.0,0.0,0.0,92.8,92.8,83.1,83.1,37.1,95.0,95.0,83.9,83.9,38.7,95.6,95.6,84.2,84.2,39.0,97.0,0.0,0.0,0.0,0.0,0.0,88.0,88.2,25.7,25.8,0.0,91.0,91.3,26.4,26.5,0.0,91.7,92.0,26.7,26.8,0.0,97.7,0.0,0.0,0.0,0.0,0.0,98.1,98.0,97.1,97.1,89.6,99.5,99.4,99.1,99.2,96.6,99.7,99.6,99.5,99.6,97.3,0/7535,0/5480,0/1024,4093/7535,4093/5480,0/1024,5261/7535,5261/5480,0/1024,5430/7535,5430/5480,0/1024,957/1024,0/7535,0/7493,0/7535,0/7469,0/1024,5939/7535,5939/7493,5043/7535,5043/7469,286/1024,7329/7535,7329/7493,7194/7535,7194/7469,867/1024,7468/7535,7468/7493,7441/7535,7441/7469,950/1024,1007/1024,0/7535,0/7535,0/7535,0/7536,0/1024,6991/7535,6991/7535,6262/7535,6262/7536,380/1024,7158/7535,7158/7535,6320/7535,6320/7536,396/1024,7205/7535,7205/7535,6348/7535,6348/7536,399/1024,993/1024,0/7535,0/7513,0/7535,0/7505,0/1024,6628/7535,6628/7513,1936/7535,1936/7505,0/1024,6860/7535,6860/7513,1992/7535,1992/7505,0/1024,6909/7535,6909/7513,2010/7535,2010/7505,0/1024,1000/1024,0/7535,0/7544,0/7535,0/7534,0/1024,7395/7535,7395/7544,7317/7535,7317/7534,918/1024,7496/7535,7496/7544,7470/7535,7470/7534,989/1024,7516/7535,7516/7544,7501/7535,7501/7534,996/1024
40000,0.0,0.0,0.0,61.3,83.9,0.0,70.8,96.9,0.0,72.4,99.1,0.0,97.7,0.0,0.0,0.0,0.0,0.0,91.6,91.6,85.7,86.0,59.4,99.1,99.1,98.4,98.7,93.7,99.7,99.7,99.4,99.7,96.5,99.3,0.0,0.0,0.0,0.0,0.0,95.0,95.1,91.0,91.1,62.8,96.4,96.5,92.1,92.2,67.5,96.9,96.9,92.6,92.7,68.5,96.7,0.0,0.0,0.0,0.0,0.0,92.7,93.0,40.3,40.5,0.0,94.9,95.3,40.9,41.0,0.0,95.2,95.6,41.0,41.2,0.0,99.6,0.0,0.0,0.0,0.0,0.0,98.8,98.8,98.2,98.2,94.4,99.7,99.7,99.6,99.7,99.1,99.9,99.9,99.8,99.8,99.4,0/7535,0/5505,0/1024,4616/7535,4616/5505,0/1024,5332/7535,5332/5505,0/1024,5458/7535,5458/5505,0/1024,1000/1024,0/7535,0/7539,0/7535,0/7510,0/1024,6902/7535,6902/7539,6457/7535,6457/7510,608/1024,7469/7535,7469/7539,7414/7535,7414/7510,959/1024,7514/7535,7514/7539,7491/7535,7491/7510,988/1024,1017/1024,0/7535,0/7532,0/7535,0/7528,0/1024,7161/7535,7161/7532,6856/7535,6856/7528,643/1024,7266/7535,7266/7532,6939/7535,6939/7528,691/1024,7298/7535,7298/7532,6976/7535,6976/7528,701/1024,990/1024,0/7535,0/7508,0/7535,0/7501,0/1024,6983/7535,6983/7508,3037/7535,3037/7501,0/1024,7153/7535,7153/7508,3079/7535,3079/7501,0/1024,7177/7535,7177/7508,3091/7535,3091/7501,0/1024,1020/1024,0/7535,0/7537,0/7535,0/7532,0/1024,7447/7535,7447/7537,7400/7535,7400/7532,967/1024,7516/7535,7516/7537,7508/7535,7508/7532,1015/1024,7526/7535,7526/7537,7519/7535,7519/7532,1018/1024
50000,0.0,0.0,0.0,66.6,91.4,0.0,72.0,98.8,0.0,72.7,99.8,0.0,20.2,0.0,0.0,0.0,0.0,0.0,71.3,77.2,53.0,69.8,4.9,87.0,94.3,70.8,93.2,15.3,91.0,98.5,74.9,98.7,19.2,99.2,0.0,0.0,0.0,0.0,0.0,96.4,96.4,93.9,94.0,76.2,97.5,97.5,95.1,95.1,81.7,97.7,97.7,95.2,95.3,82.1,99.3,0.0,0.0,0.0,0.0,0.0,94.7,94.7,81.1,81.1,26.4,96.0,96.0,81.7,81.7,26.8,96.5,96.5,82.2,82.2,26.9,99.6,0.0,0.0,0.0,0.0,0.0,99.3,99.3,98.9,98.9,95.8,99.8,99.8,99.8,99.8,99.2,99.9,99.9,99.9,99.9,99.4,0/7535,0/5488,0/1024,5015/7535,5015/5488,0/1024,5422/7535,5422/5488,0/1024,5475/7535,5475/5488,0/1024,207/1024,0/7535,0/6955,0/7535,0/5721,0/1024,5371/7535,5371/6955,3991/7535,3991/5721,50/1024,6558/7535,6558/6955,5333/7535,5333/5721,157/1024,6854/7535,6854/6955,5647/7535,5647/5721,197/1024,1016/1024,0/7535,0/7535,0/7535,0/7532,0/1024,7261/7535,7261/7535,7077/7535,7077/7532,780/1024,7350/7535,7350/7535,7165/7535,7165/7532,837/1024,7358/7535,7358/7535,7175/7535,7175/7532,841/1024,1017/1024,0/7535,0/7534,0/7535,0/7532,0/1024,7136/7535,7136/7534,6112/7535,6112/7532,270/1024,7235/7535,7235/7534,6156/7535,6156/7532,274/1024,7272/7535,7272/7534,6191/7535,6191/7532,275/1024,1020/1024,0/7535,0/7533,0/7535,0/7533,0/1024,7480/7535,7480/7533,7451/7535,7451/7533,981/1024,7521/7535,7521/7533,7517/7535,7517/7533,1016/1024,7528/7535,7528/7533,7526/7535,7526/7533,1018/1024
60000,0.0,0.0,0.0,62.6,86.0,0.0,71.3,97.9,0.0,72.4,99.4,0.0,31.9,0.0,0.0,0.0,0.0,0.0,69.4,73.6,51.4,64.4,7.3,86.8,92.1,71.9,90.1,25.0,90.9,96.4,76.6,96.0,30.8,98.7,0.0,0.0,0.0,0.0,0.0,96.8,96.7,94.3,94.2,76.9,97.7,97.5,95.1,95.0,80.8,97.9,97.7,95.3,95.1,81.3,98.2,0.0,0.0,0.0,0.0,0.0,94.8,94.9,79.7,79.9,23.2,96.3,96.4,80.5,80.7,23.7,96.6,96.7,80.6,80.8,23.7,99.6,0.0,0.0,0.0,0.0,0.0,99.4,99.4,99.1,99.1,96.5,99.8,99.9,99.8,99.8,99.2,99.9,99.9,99.8,99.9,99.3,0/7535,0/5490,0/1024,4720/7535,4720/5490,0/1024,5372/7535,5372/5490,0/1024,5458/7535,5458/5490,0/1024,327/1024,0/7535,0/7105,0/7535,0/6012,0/1024,5228/7535,5228/7105,3871/7535,3871/6012,75/1024,6542/7535,6542/7105,5414/7535,5414/6012,256/1024,6846/7535,6846/7105,5771/7535,5771/6012,315/1024,1011/1024,0/7535,0/7545,0/7535,0/7544,0/1024,7294/7535,7294/7545,7105/7535,7105/7544,787/1024,7359/7535,7359/7545,7166/7535,7166/7544,827/1024,7374/7535,7374/7545,7178/7535,7178/7544,832/1024,1006/1024,0/7535,0/7527,0/7535,0/7517,0/1024,7146/7535,7146/7527,6008/7535,6008/7517,238/1024,7257/7535,7257/7527,6067/7535,6067/7517,243/1024,7276/7535,7276/7527,6070/7535,6070/7517,243/1024,1020/1024,0/7535,0/7533,0/7535,0/7531,0/1024,7490/7535,7490/7533,7464/7535,7464/7531,988/1024,7523/7535,7523/7533,7517/7535,7517/7531,1016/1024,7528/7535,7528/7533,7523/7535,7523/7531,1017/1024
70000,0.0,0.0,0.0,80.7,93.4,0.0,85.7,99.2,0.0,86.3,99.8,0.0,86.0,0.0,0.0,0.0,0.0,0.0,84.6,85.3,73.1,76.2,36.0,96.6,97.4,91.9,95.8,77.1,98.5,99.3,95.0,99.1,84.5,98.8,0.0,0.0,0.0,0.0,0.0,97.2,97.4,94.8,95.0,79.6,98.0,98.1,95.5,95.7,82.7,98.1,98.3,95.7,95.9,83.4,99.6,0.0,0.0,0.0,0.0,0.0,95.0,95.0,81.1,81.1,27.9,96.0,96.0,81.5,81.5,27.9,96.3,96.3,81.7,81.7,28.2,99.6,0.0,0.0,0.0,0.0,0.0,99.2,99.1,98.6,98.6,95.6,99.8,99.8,99.7,99.7,99.2,99.9,99.9,99.9,99.9,99.5,0/7535,0/6509,0/1024,6079/7535,6079/6509,0/1024,6458/7535,6458/6509,0/1024,6499/7535,6499/6509,0/1024,881/1024,0/7535,0/7471,0/7535,0/7226,0/1024,6371/7535,6371/7471,5505/7535,5505/7226,369/1024,7279/7535,7279/7471,6923/7535,6923/7226,789/1024,7419/7535,7419/7471,7159/7535,7159/7226,865/1024,1012/1024,0/7535,0/7523,0/7535,0/7523,0/1024,7327/7535,7327/7523,7146/7535,7146/7523,815/1024,7381/7535,7381/7523,7199/7535,7199/7523,847/1024,7393/7535,7393/7523,7211/7535,7211/7523,854/1024,1020/1024,0/7535,0/7534,0/7535,0/7533,0/1024,7156/7535,7156/7534,6108/7535,6108/7533,286/1024,7231/7535,7231/7534,6138/7535,6138/7533,286/1024,7255/7535,7255/7534,6154/7535,6154/7533,289/1024,1020/1024,0/7535,0/7537,0/7535,0/7534,0/1024,7472/7535,7472/7537,7427/7535,7427/7534,979/1024,7520/7535,7520/7537,7513/7535,7513/7534,1016/1024,7531/7535,7531/7537,7528/7535,7528/7534,1019/1024
80000,0.0,0.0,0.0,97.4,97.4,87.6,99.4,99.3,97.7,99.9,99.8,99.4,95.8,0.0,0.0,0.0,0.0,0.0,94.8,94.9,91.3,92.0,71.8,99.1,99.2,98.3,99.0,93.0,99.6,99.7,99.0,99.6,95.0,98.7,0.0,0.0,0.0,0.0,0.0,96.8,97.0,95.2,95.4,83.3,97.4,97.6,95.8,96.0,85.8,97.7,97.9,96.0,96.2,86.9,99.0,0.0,0.0,0.0,0.0,0.0,95.2,95.2,81.7,81.7,33.3,96.3,96.3,82.2,82.2,34.6,96.6,96.6,82.5,82.5,34.7,99.8,0.0,0.0,0.0,0.0,0.0,99.3,99.3,99.0,99.0,97.1,99.8,99.8,99.7,99.7,99.5,99.9,99.9,99.9,99.9,99.7,0/7535,0/7538,0/1024,7339/7535,7339/7538,897/1024,7487/7535,7487/7538,1000/1024,7525/7535,7525/7538,1018/1024,981/1024,0/7535,0/7530,0/7535,0/7483,0/1024,7144/7535,7144/7530,6881/7535,6881/7483,735/1024,7466/7535,7466/7530,7405/7535,7405/7483,952/1024,7504/7535,7504/7530,7456/7535,7456/7483,973/1024,1011/1024,0/7535,0/7522,0/7535,0/7522,0/1024,7296/7535,7296/7522,7175/7535,7175/7522,853/1024,7339/7535,7339/7522,7221/7535,7221/7522,879/1024,7361/7535,7361/7522,7237/7535,7237/7522,890/1024,1014/1024,0/7535,0/7535,0/7535,0/7533,0/1024,7177/7535,7177/7535,6154/7535,6154/7533,341/1024,7256/7535,7256/7535,6192/7535,6192/7533,354/1024,7282/7535,7282/7535,6213/7535,6213/7533,355/1024,1022/1024,0/7535,0/7536,0/7535,0/7534,0/1024,7481/7535,7481/7536,7461/7535,7461/7534,994/1024,7521/7535,7521/7536,7515/7535,7515/7534,1019/1024,7530/7535,7530/7536,7527/7535,7527/7534,1021/1024
90000,0.0,0.0,0.0,98.7,98.8,94.5,99.6,99.6,99.1,99.8,99.9,99.4,97.9,0.0,0.0,0.0,0.0,0.0,96.8,96.9,94.6,95.1,82.9,99.5,99.5,98.8,99.3,96.0,99.8,99.9,99.4,99.9,97.6,99.1,0.0,0.0,0.0,0.0,0.0,96.9,97.0,95.3,95.5,84.1,97.7,97.8,96.2,96.4,87.7,97.9,98.0,96.5,96.6,88.8,96.4,0.0,0.0,0.0,0.0,0.0,95.3,95.4,87.4,87.8,64.2,96.5,96.6,88.4,88.8,67.7,96.9,97.0,88.9,89.3,68.2,99.6,0.0,0.0,0.0,0.0,0.0,99.7,99.7,99.5,99.6,98.5,99.8,99.8,99.7,99.8,99.2,99.9,100.0,99.9,99.9,99.5,0/7535,0/7531,0/1024,7438/7535,7438/7531,968/1024,7504/7535,7504/7531,1015/1024,7521/7535,7521/7531,1018/1024,1002/1024,0/7535,0/7533,0/7535,0/7498,0/1024,7296/7535,7296/7533,7130/7535,7130/7498,849/1024,7496/7535,7496/7533,7444/7535,7444/7498,983/1024,7522/7535,7522/7533,7487/7535,7487/7498,999/1024,1015/1024,0/7535,0/7527,0/7535,0/7526,0/1024,7303/7535,7303/7527,7184/7535,7184/7526,861/1024,7361/7535,7361/7527,7252/7535,7252/7526,898/1024,7379/7535,7379/7527,7271/7535,7271/7526,909/1024,987/1024,0/7535,0/7525,0/7535,0/7499,0/1024,7181/7535,7181/7525,6586/7535,6586/7499,657/1024,7271/7535,7271/7525,6662/7535,6662/7499,693/1024,7299/7535,7299/7525,6697/7535,6697/7499,698/1024,1020/1024,0/7535,0/7533,0/7535,0/7531,0/1024,7509/7535,7509/7533,7501/7535,7501/7531,1009/1024,7521/7535,7521/7533,7516/7535,7516/7531,1016/1024,7530/7535,7530/7533,7526/7535,7526/7531,1019/1024
100000,0.0,0.0,0.0,98.8,98.8,94.0,99.7,99.7,98.7,99.9,99.9,99.4,95.2,0.0,0.0,0.0,0.0,0.0,95.9,96.0,92.4,93.6,77.3,99.0,99.2,97.7,98.9,93.0,99.5,99.7,98.4,99.6,94.5,99.5,0.0,0.0,0.0,0.0,0.0,97.5,97.5,95.8,95.8,85.1,98.0,98.0,96.3,96.3,87.5,98.2,98.2,96.4,96.4,88.2,98.2,0.0,0.0,0.0,0.0,0.0,96.0,96.1,88.2,88.4,66.3,97.0,97.1,89.1,89.2,69.3,97.5,97.5,89.6,89.8,69.6,99.8,0.0,0.0,0.0,0.0,0.0,99.7,99.7,99.6,99.6,98.8,99.9,99.9,99.8,99.8,99.5,99.9,99.9,99.9,99.9,99.7,0/7535,0/7534,0/1024,7444/7535,7444/7534,963/1024,7510/7535,7510/7534,1011/1024,7528/7535,7528/7534,1018/1024,975/1024,0/7535,0/7522,0/7535,0/7443,0/1024,7224/7535,7224/7522,6964/7535,6964/7443,792/1024,7460/7535,7460/7522,7360/7535,7360/7443,952/1024,7498/7535,7498/7522,7415/7535,7415/7443,968/1024,1019/1024,0/7535,0/7537,0/7535,0/7536,0/1024,7347/7535,7347/7537,7220/7535,7220/7536,871/1024,7387/7535,7387/7537,7257/7535,7257/7536,896/1024,7398/7535,7398/7537,7265/7535,7265/7536,903/1024,1006/1024,0/7535,0/7531,0/7535,0/7519,0/1024,7234/7535,7234/7531,6646/7535,6646/7519,679/1024,7310/7535,7310/7531,6710/7535,6710/7519,710/1024,7345/7535,7345/7531,6753/7535,6753/7519,713/1024,1022/1024,0/7535,0/7535,0/7535,0/7535,0/1024,7512/7535,7512/7535,7505/7535,7505/7535,1012/1024,7524/7535,7524/7535,7520/7535,7520/7535,1019/1024,7531/7535,7531/7535,7529/7535,7529/7535,1021/1024
