model,schedule,step,tolerance,nodes_found,nodes_right,records_exact
d2g,decay,10000,0,0.00,0.00,0.00
d2g,decay,10000,2,25.37,20.95,0.05
d2g,decay,10000,4,25.37,20.96,0.05
d2g,decay,10000,8,25.45,21.02,0.05
d2g,decay,20000,0,0.00,0.00,0.00
d2g,decay,20000,2,73.78,75.05,9.33
d2g,decay,20000,4,73.80,75.06,9.33
d2g,decay,20000,8,73.97,75.24,9.35
d2g,decay,30000,0,0.00,0.00,0.00
d2g,decay,30000,2,82.39,84.84,15.87
d2g,decay,30000,4,82.40,84.85,15.87
d2g,decay,30000,8,82.61,85.07,15.87
d2g,decay,40000,0,0.00,0.00,0.00
d2g,decay,40000,2,84.02,89.74,17.70
d2g,decay,40000,4,84.04,89.76,17.72
d2g,decay,40000,8,84.20,89.93,17.72
d2g,decay,50000,0,0.00,0.00,0.00
d2g,decay,50000,2,85.74,90.41,19.97
d2g,decay,50000,4,85.77,90.44,20.00
d2g,decay,50000,8,85.96,90.65,20.07
d2g,decay,60000,0,0.00,0.00,0.00
d2g,decay,60000,2,86.91,89.88,20.90
d2g,decay,60000,4,86.96,89.92,20.90
d2g,decay,60000,8,87.15,90.12,21.14
d2g,decay,70000,0,0.00,0.00,0.00
d2g,decay,70000,2,87.92,91.07,22.44
d2g,decay,70000,4,87.96,91.11,22.56
d2g,decay,70000,8,88.18,91.34,22.92
d2g,decay,80000,0,0.00,0.00,0.00
d2g,decay,80000,2,87.38,89.00,21.44
d2g,decay,80000,4,87.47,89.09,21.85
d2g,decay,80000,8,87.81,89.44,23.24
d2g,decay,90000,0,0.00,0.00,0.00
d2g,decay,90000,2,88.52,90.28,24.05
d2g,decay,90000,4,88.68,90.44,24.90
d2g,decay,90000,8,89.18,90.95,27.44
d2g,decay,100000,0,0.00,0.00,0.00
d2g,decay,100000,2,88.67,89.85,24.76
d2g,decay,100000,4,88.91,90.09,26.15
d2g,decay,100000,8,89.60,90.78,30.15
d2g,decay,110000,0,0.00,0.00,0.00
d2g,decay,110000,2,89.54,90.94,27.15
d2g,decay,110000,4,89.91,91.32,29.03
d2g,decay,110000,8,90.83,92.25,34.18
d2g,decay,120000,0,0.00,0.00,0.00
d2g,decay,120000,2,89.89,90.49,27.91
d2g,decay,120000,4,90.40,91.01,30.79
d2g,decay,120000,8,91.57,92.18,38.26
d2g,decay,130000,0,0.00,0.00,0.00
d2g,decay,130000,2,90.18,90.20,29.22
d2g,decay,130000,4,90.78,90.80,32.81
d2g,decay,130000,8,92.12,92.14,41.06
d2g,decay,140000,0,0.00,0.00,0.00
d2g,decay,140000,2,90.20,90.67,29.88
d2g,decay,140000,4,90.94,91.40,34.64
d2g,decay,140000,8,92.41,92.89,44.12
d2g,decay,150000,0,0.00,0.00,0.00
d2g,decay,150000,2,90.71,91.36,30.62
d2g,decay,150000,4,91.60,92.26,35.89
d2g,decay,150000,8,93.15,93.82,46.46
d2g,decay,160000,0,0.00,0.00,0.00
d2g,decay,160000,2,90.62,91.46,32.25
d2g,decay,160000,4,91.52,92.36,37.96
d2g,decay,160000,8,93.21,94.07,48.95
d2g,decay,170000,0,0.00,0.00,0.00
d2g,decay,170000,2,91.18,91.40,33.40
d2g,decay,170000,4,92.25,92.47,40.33
d2g,decay,170000,8,93.95,94.16,51.29
d2g,decay,180000,0,0.00,0.00,0.00
d2g,decay,180000,2,91.40,91.74,34.40
d2g,decay,180000,4,92.52,92.86,41.55
d2g,decay,180000,8,94.26,94.61,53.61
d2g,decay,190000,0,0.00,0.00,0.00
d2g,decay,190000,2,91.41,91.80,34.91
d2g,decay,190000,4,92.62,93.01,42.82
d2g,decay,190000,8,94.38,94.78,55.35
d2g,decay,200000,0,0.00,0.00,0.00
d2g,decay,200000,2,91.87,92.23,36.74
d2g,decay,200000,4,93.09,93.46,45.46
d2g,decay,200000,8,94.87,95.25,58.13
detr,decay,10000,0,0.00,0.00,0.00
detr,decay,10000,2,2.11,17.59,0.00
detr,decay,10000,4,5.74,47.74,0.00
detr,decay,10000,8,8.74,72.72,0.00
detr,decay,20000,0,0.00,0.00,0.00
detr,decay,20000,2,17.83,46.50,0.00
detr,decay,20000,4,32.33,84.29,0.00
detr,decay,20000,8,35.51,92.60,0.00
detr,decay,30000,0,0.00,0.00,0.00
detr,decay,30000,2,89.00,89.20,28.81
detr,decay,30000,4,95.77,95.99,51.68
detr,decay,30000,8,96.91,97.13,56.25
detr,decay,40000,0,0.00,0.00,0.00
detr,decay,40000,2,85.03,84.75,17.41
detr,decay,40000,4,95.12,94.82,45.83
detr,decay,40000,8,96.43,96.12,50.15
detr,decay,50000,0,0.00,0.00,0.00
detr,decay,50000,2,73.25,75.03,6.13
detr,decay,50000,4,89.07,91.23,28.71
detr,decay,50000,8,92.39,94.63,36.40
detr,decay,60000,0,0.00,0.00,0.00
detr,decay,60000,2,85.06,87.80,20.17
detr,decay,60000,4,92.44,95.42,40.94
detr,decay,60000,8,93.74,96.76,44.90
detr,decay,70000,0,0.00,0.00,0.00
detr,decay,70000,2,88.43,88.27,24.46
detr,decay,70000,4,94.29,94.12,40.92
detr,decay,70000,8,95.66,95.49,45.85
detr,decay,80000,0,0.00,0.00,0.00
detr,decay,80000,2,91.54,90.77,32.50
detr,decay,80000,4,95.66,94.86,46.09
detr,decay,80000,8,96.69,95.88,50.46
detr,decay,90000,0,0.00,0.00,0.00
detr,decay,90000,2,87.45,88.04,21.44
detr,decay,90000,4,92.41,93.03,32.30
detr,decay,90000,8,94.09,94.72,37.48
detr,decay,100000,0,0.00,0.00,0.00
detr,decay,100000,2,90.63,91.28,29.88
detr,decay,100000,4,94.51,95.18,42.21
detr,decay,100000,8,95.47,96.15,45.58
