iteration,records the right length (%),nodes found @0 px (%),nodes right @0 px (%),relationships found @0 px (%),relationships right @0 px (%),records exactly right @0 px (%),nodes found @2 px (%),nodes right @2 px (%),relationships found @2 px (%),relationships right @2 px (%),records exactly right @2 px (%),nodes found @4 px (%),nodes right @4 px (%),relationships found @4 px (%),relationships right @4 px (%),records exactly right @4 px (%),nodes found @8 px (%),nodes right @8 px (%),relationships found @8 px (%),relationships right @8 px (%),records exactly right @8 px (%),records the right length (count),nodes found @0 px (count),nodes right @0 px (count),relationships found @0 px (count),relationships right @0 px (count),records exactly right @0 px (count),nodes found @2 px (count),nodes right @2 px (count),relationships found @2 px (count),relationships right @2 px (count),records exactly right @2 px (count),nodes found @4 px (count),nodes right @4 px (count),relationships found @4 px (count),relationships right @4 px (count),records exactly right @4 px (count),nodes found @8 px (count),nodes right @8 px (count),relationships found @8 px (count),relationships right @8 px (count),records exactly right @8 px (count)
10000,80.3,0.0,0.0,0.0,0.0,0.0,39.8,39.1,16.6,16.7,0.0,41.6,40.9,17.6,17.7,0.0,44.2,43.5,19.3,19.4,0.0,822/1024,0/7535,0/7657,0/7535,0/7503,0/1024,2997/7535,2997/7657,1252/7535,1252/7503,0/1024,3135/7535,3135/7657,1328/7535,1328/7503,0/1024,3328/7535,3328/7657,1452/7535,1452/7503,0/1024
20000,98.0,0.0,0.0,0.0,0.0,0.0,69.8,69.7,10.0,10.0,0.0,73.1,73.0,10.6,10.6,0.0,76.1,76.0,11.1,11.1,0.0,1004/1024,0/7535,0/7543,0/7535,0/7541,0/1024,5258/7535,5258/7543,751/7535,751/7541,0/1024,5509/7535,5509/7543,800/7535,800/7541,0/1024,5735/7535,5735/7543,839/7535,839/7541,0/1024
30000,97.0,0.0,0.0,0.0,0.0,0.0,88.0,88.2,25.7,25.8,0.0,91.0,91.3,26.4,26.5,0.0,91.7,92.0,26.7,26.8,0.0,993/1024,0/7535,0/7513,0/7535,0/7505,0/1024,6628/7535,6628/7513,1936/7535,1936/7505,0/1024,6860/7535,6860/7513,1992/7535,1992/7505,0/1024,6909/7535,6909/7513,2010/7535,2010/7505,0/1024
40000,96.7,0.0,0.0,0.0,0.0,0.0,92.7,93.0,40.3,40.5,0.0,94.9,95.3,40.9,41.0,0.0,95.2,95.6,41.0,41.2,0.0,990/1024,0/7535,0/7508,0/7535,0/7501,0/1024,6983/7535,6983/7508,3037/7535,3037/7501,0/1024,7153/7535,7153/7508,3079/7535,3079/7501,0/1024,7177/7535,7177/7508,3091/7535,3091/7501,0/1024
50000,99.3,0.0,0.0,0.0,0.0,0.0,94.7,94.7,81.1,81.1,26.4,96.0,96.0,81.7,81.7,26.8,96.5,96.5,82.2,82.2,26.9,1017/1024,0/7535,0/7534,0/7535,0/7532,0/1024,7136/7535,7136/7534,6112/7535,6112/7532,270/1024,7235/7535,7235/7534,6156/7535,6156/7532,274/1024,7272/7535,7272/7534,6191/7535,6191/7532,275/1024
60000,98.2,0.0,0.0,0.0,0.0,0.0,94.8,94.9,79.7,79.9,23.2,96.3,96.4,80.5,80.7,23.7,96.6,96.7,80.6,80.8,23.7,1006/1024,0/7535,0/7527,0/7535,0/7517,0/1024,7146/7535,7146/7527,6008/7535,6008/7517,238/1024,7257/7535,7257/7527,6067/7535,6067/7517,243/1024,7276/7535,7276/7527,6070/7535,6070/7517,243/1024
70000,99.6,0.0,0.0,0.0,0.0,0.0,95.0,95.0,81.1,81.1,27.9,96.0,96.0,81.5,81.5,27.9,96.3,96.3,81.7,81.7,28.2,1020/1024,0/7535,0/7534,0/7535,0/7533,0/1024,7156/7535,7156/7534,6108/7535,6108/7533,286/1024,7231/7535,7231/7534,6138/7535,6138/7533,286/1024,7255/7535,7255/7534,6154/7535,6154/7533,289/1024
80000,99.0,0.0,0.0,0.0,0.0,0.0,95.2,95.2,81.7,81.7,33.3,96.3,96.3,82.2,82.2,34.6,96.6,96.6,82.5,82.5,34.7,1014/1024,0/7535,0/7535,0/7535,0/7533,0/1024,7177/7535,7177/7535,6154/7535,6154/7533,341/1024,7256/7535,7256/7535,6192/7535,6192/7533,354/1024,7282/7535,7282/7535,6213/7535,6213/7533,355/1024
90000,96.4,0.0,0.0,0.0,0.0,0.0,95.3,95.4,87.4,87.8,64.2,96.5,96.6,88.4,88.8,67.7,96.9,97.0,88.9,89.3,68.2,987/1024,0/7535,0/7525,0/7535,0/7499,0/1024,7181/7535,7181/7525,6586/7535,6586/7499,657/1024,7271/7535,7271/7525,6662/7535,6662/7499,693/1024,7299/7535,7299/7525,6697/7535,6697/7499,698/1024
100000,98.2,0.0,0.0,0.0,0.0,0.0,96.0,96.1,88.2,88.4,66.3,97.0,97.1,89.1,89.2,69.3,97.5,97.5,89.6,89.8,69.6,1006/1024,0/7535,0/7531,0/7535,0/7519,0/1024,7234/7535,7234/7531,6646/7535,6646/7519,679/1024,7310/7535,7310/7531,6710/7535,6710/7519,710/1024,7345/7535,7345/7531,6753/7535,6753/7519,713/1024
