iteration,records the right length (%),nodes found @0 px (%),nodes right @0 px (%),relationships found @0 px (%),relationships right @0 px (%),records exactly right @0 px (%),nodes found @2 px (%),nodes right @2 px (%),relationships found @2 px (%),relationships right @2 px (%),records exactly right @2 px (%),nodes found @4 px (%),nodes right @4 px (%),relationships found @4 px (%),relationships right @4 px (%),records exactly right @4 px (%),nodes found @8 px (%),nodes right @8 px (%),relationships found @8 px (%),relationships right @8 px (%),records exactly right @8 px (%),records the right length (count),nodes found @0 px (count),nodes right @0 px (count),relationships found @0 px (count),relationships right @0 px (count),records exactly right @0 px (count),nodes found @2 px (count),nodes right @2 px (count),relationships found @2 px (count),relationships right @2 px (count),records exactly right @2 px (count),nodes found @4 px (count),nodes right @4 px (count),relationships found @4 px (count),relationships right @4 px (count),records exactly right @4 px (count),nodes found @8 px (count),nodes right @8 px (count),relationships found @8 px (count),relationships right @8 px (count),records exactly right @8 px (count)
10000,88.6,0.0,0.0,0.0,0.0,0.0,60.8,61.4,25.2,25.5,0.0,61.3,61.9,25.3,25.6,0.0,62.2,62.8,25.5,25.8,0.0,907/1024,0/7535,0/7464,0/7535,0/7447,0/1024,4582/7535,4582/7464,1897/7535,1897/7447,0/1024,4617/7535,4617/7464,1909/7535,1909/7447,0/1024,4686/7535,4686/7464,1920/7535,1920/7447,0/1024
20000,93.0,0.0,0.0,0.0,0.0,0.0,85.3,86.1,68.8,69.4,14.1,88.6,89.5,69.8,70.5,15.5,90.4,91.2,70.4,71.1,16.4,952/1024,0/7535,0/7463,0/7535,0/7463,0/1024,6425/7535,6425/7463,5181/7535,5181/7463,144/1024,6676/7535,6676/7463,5263/7535,5263/7463,159/1024,6808/7535,6808/7463,5303/7535,5303/7463,168/1024
30000,98.3,0.0,0.0,0.0,0.0,0.0,92.8,92.8,83.1,83.1,37.1,95.0,95.0,83.9,83.9,38.7,95.6,95.6,84.2,84.2,39.0,1007/1024,0/7535,0/7535,0/7535,0/7536,0/1024,6991/7535,6991/7535,6262/7535,6262/7536,380/1024,7158/7535,7158/7535,6320/7535,6320/7536,396/1024,7205/7535,7205/7535,6348/7535,6348/7536,399/1024
40000,99.3,0.0,0.0,0.0,0.0,0.0,95.0,95.1,91.0,91.1,62.8,96.4,96.5,92.1,92.2,67.5,96.9,96.9,92.6,92.7,68.5,1017/1024,0/7535,0/7532,0/7535,0/7528,0/1024,7161/7535,7161/7532,6856/7535,6856/7528,643/1024,7266/7535,7266/7532,6939/7535,6939/7528,691/1024,7298/7535,7298/7532,6976/7535,6976/7528,701/1024
50000,99.2,0.0,0.0,0.0,0.0,0.0,96.4,96.4,93.9,94.0,76.2,97.5,97.5,95.1,95.1,81.7,97.7,97.7,95.2,95.3,82.1,1016/1024,0/7535,0/7535,0/7535,0/7532,0/1024,7261/7535,7261/7535,7077/7535,7077/7532,780/1024,7350/7535,7350/7535,7165/7535,7165/7532,837/1024,7358/7535,7358/7535,7175/7535,7175/7532,841/1024
60000,98.7,0.0,0.0,0.0,0.0,0.0,96.8,96.7,94.3,94.2,76.9,97.7,97.5,95.1,95.0,80.8,97.9,97.7,95.3,95.1,81.3,1011/1024,0/7535,0/7545,0/7535,0/7544,0/1024,7294/7535,7294/7545,7105/7535,7105/7544,787/1024,7359/7535,7359/7545,7166/7535,7166/7544,827/1024,7374/7535,7374/7545,7178/7535,7178/7544,832/1024
70000,98.8,0.0,0.0,0.0,0.0,0.0,97.2,97.4,94.8,95.0,79.6,98.0,98.1,95.5,95.7,82.7,98.1,98.3,95.7,95.9,83.4,1012/1024,0/7535,0/7523,0/7535,0/7523,0/1024,7327/7535,7327/7523,7146/7535,7146/7523,815/1024,7381/7535,7381/7523,7199/7535,7199/7523,847/1024,7393/7535,7393/7523,7211/7535,7211/7523,854/1024
80000,98.7,0.0,0.0,0.0,0.0,0.0,96.8,97.0,95.2,95.4,83.3,97.4,97.6,95.8,96.0,85.8,97.7,97.9,96.0,96.2,86.9,1011/1024,0/7535,0/7522,0/7535,0/7522,0/1024,7296/7535,7296/7522,7175/7535,7175/7522,853/1024,7339/7535,7339/7522,7221/7535,7221/7522,879/1024,7361/7535,7361/7522,7237/7535,7237/7522,890/1024
90000,99.1,0.0,0.0,0.0,0.0,0.0,96.9,97.0,95.3,95.5,84.1,97.7,97.8,96.2,96.4,87.7,97.9,98.0,96.5,96.6,88.8,1015/1024,0/7535,0/7527,0/7535,0/7526,0/1024,7303/7535,7303/7527,7184/7535,7184/7526,861/1024,7361/7535,7361/7527,7252/7535,7252/7526,898/1024,7379/7535,7379/7527,7271/7535,7271/7526,909/1024
100000,99.5,0.0,0.0,0.0,0.0,0.0,97.5,97.5,95.8,95.8,85.1,98.0,98.0,96.3,96.3,87.5,98.2,98.2,96.4,96.4,88.2,1019/1024,0/7535,0/7537,0/7535,0/7536,0/1024,7347/7535,7347/7537,7220/7535,7220/7536,871/1024,7387/7535,7387/7537,7257/7535,7257/7536,896/1024,7398/7535,7398/7537,7265/7535,7265/7536,903/1024
110000,99.4,0.0,0.0,0.0,0.0,0.0,97.6,97.5,96.3,96.3,86.1,98.2,98.1,96.8,96.9,88.9,98.4,98.3,97.1,97.1,89.8,1018/1024,0/7535,0/7538,0/7535,0/7534,0/1024,7353/7535,7353/7538,7253/7535,7253/7534,882/1024,7397/7535,7397/7538,7297/7535,7297/7534,910/1024,7413/7535,7413/7538,7315/7535,7315/7534,920/1024
120000,99.5,0.0,0.0,0.0,0.0,0.0,97.9,98.0,96.0,96.1,85.8,98.4,98.4,96.5,96.5,88.3,98.6,98.7,96.8,96.9,89.4,1019/1024,0/7535,0/7532,0/7535,0/7530,0/1024,7378/7535,7378/7532,7233/7535,7233/7530,879/1024,7413/7535,7413/7532,7268/7535,7268/7530,904/1024,7433/7535,7433/7532,7295/7535,7295/7530,915/1024
130000,99.4,0.0,0.0,0.0,0.0,0.0,97.8,97.9,96.8,96.9,88.1,98.4,98.4,97.4,97.5,90.5,98.5,98.6,97.6,97.7,91.2,1018/1024,0/7535,0/7530,0/7535,0/7529,0/1024,7370/7535,7370/7530,7295/7535,7295/7529,902/1024,7412/7535,7412/7530,7341/7535,7341/7529,927/1024,7424/7535,7424/7530,7354/7535,7354/7529,934/1024
140000,99.8,0.0,0.0,0.0,0.0,0.0,98.3,98.3,97.0,97.0,89.3,98.7,98.7,97.4,97.4,91.1,98.9,98.9,97.5,97.6,91.5,1022/1024,0/7535,0/7533,0/7535,0/7533,0/1024,7407/7535,7407/7533,7308/7535,7308/7533,914/1024,7437/7535,7437/7533,7336/7535,7336/7533,933/1024,7449/7535,7449/7533,7350/7535,7350/7533,937/1024
150000,99.3,0.0,0.0,0.0,0.0,0.0,97.6,97.7,96.4,96.5,87.0,98.1,98.1,96.9,97.0,89.6,98.3,98.3,97.2,97.2,90.3,1017/1024,0/7535,0/7532,0/7535,0/7530,0/1024,7356/7535,7356/7532,7266/7535,7266/7530,891/1024,7391/7535,7391/7532,7304/7535,7304/7530,917/1024,7405/7535,7405/7532,7322/7535,7322/7530,925/1024
