model,corpus,size,step,threshold,tolerance,parameters,training_seconds,node_recall,node_precision,edge_recall,edge_precision,records_exact
d2g,sketch,s,10000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,10000,,2,9915977,18026,27.72,34.03,,,3.37
d2g,sketch,s,10000,,4,9915977,18026,29.16,35.80,,,3.55
d2g,sketch,s,10000,,8,9915977,18026,31.26,38.38,,,3.78
d2g,sketch,s,20000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,20000,,2,9915977,18026,39.07,45.09,,,11.34
d2g,sketch,s,20000,,4,9915977,18026,40.88,47.18,,,12.00
d2g,sketch,s,20000,,8,9915977,18026,43.55,50.26,,,12.90
d2g,sketch,s,30000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,30000,,2,9915977,18026,46.82,51.60,,,16.98
d2g,sketch,s,30000,,4,9915977,18026,48.95,53.96,,,18.06
d2g,sketch,s,30000,,8,9915977,18026,52.07,57.39,,,19.66
d2g,sketch,s,40000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,40000,,2,9915977,18026,50.42,57.11,,,21.11
d2g,sketch,s,40000,,4,9915977,18026,52.75,59.75,,,22.44
d2g,sketch,s,40000,,8,9915977,18026,55.77,63.17,,,24.16
d2g,sketch,s,50000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,50000,,2,9915977,18026,54.16,60.04,,,24.52
d2g,sketch,s,50000,,4,9915977,18026,56.65,62.80,,,25.95
d2g,sketch,s,50000,,8,9915977,18026,59.82,66.31,,,27.71
d2g,sketch,s,60000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,60000,,2,9915977,18026,56.25,61.02,,,26.26
d2g,sketch,s,60000,,4,9915977,18026,58.78,63.76,,,27.84
d2g,sketch,s,60000,,8,9915977,18026,62.01,67.27,,,29.43
d2g,sketch,s,70000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,70000,,2,9915977,18026,57.56,63.27,,,28.00
d2g,sketch,s,70000,,4,9915977,18026,60.13,66.09,,,29.64
d2g,sketch,s,70000,,8,9915977,18026,63.28,69.56,,,31.48
d2g,sketch,s,80000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,80000,,2,9915977,18026,58.93,66.35,,,29.61
d2g,sketch,s,80000,,4,9915977,18026,61.56,69.31,,,31.34
d2g,sketch,s,80000,,8,9915977,18026,64.65,72.79,,,33.15
d2g,sketch,s,90000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,90000,,2,9915977,18026,60.51,66.48,,,31.28
d2g,sketch,s,90000,,4,9915977,18026,63.17,69.40,,,33.05
d2g,sketch,s,90000,,8,9915977,18026,66.30,72.84,,,34.93
d2g,sketch,s,100000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,100000,,2,9915977,18026,61.48,68.28,,,32.02
d2g,sketch,s,100000,,4,9915977,18026,64.17,71.27,,,33.80
d2g,sketch,s,100000,,8,9915977,18026,67.19,74.62,,,35.61
d2g,sketch,s,110000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,110000,,2,9915977,18026,62.22,68.17,,,32.99
d2g,sketch,s,110000,,4,9915977,18026,65.01,71.22,,,35.02
d2g,sketch,s,110000,,8,9915977,18026,67.95,74.45,,,36.88
d2g,sketch,s,120000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,120000,,2,9915977,18026,63.03,68.91,,,33.99
d2g,sketch,s,120000,,4,9915977,18026,65.78,71.92,,,35.83
d2g,sketch,s,120000,,8,9915977,18026,68.88,75.32,,,37.79
d2g,sketch,s,130000,,0,9915977,18026,0.00,0.00,,,0.00
d2g,sketch,s,130000,,2,9915977,18026,63.38,69.56,,,34.72
