model,corpus,size,step,threshold,tolerance,parameters,training_seconds,node_recall,node_precision,edge_recall,edge_precision,records_exact
detr,sketch,s,10000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,10000,,2,5735432,,7.93,24.95,,,0.00
detr,sketch,s,10000,,4,5735432,,18.89,59.47,,,0.02
detr,sketch,s,10000,,8,5735432,,26.31,82.81,,,0.03
detr,sketch,s,20000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,20000,,2,5735432,,14.40,33.98,,,0.00
detr,sketch,s,20000,,4,5735432,,27.60,65.14,,,0.08
detr,sketch,s,20000,,8,5735432,,35.10,82.83,,,0.13
detr,sketch,s,30000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,30000,,2,5735432,,28.33,45.34,,,0.22
detr,sketch,s,30000,,4,5735432,,42.09,67.37,,,1.28
detr,sketch,s,30000,,8,5735432,,47.94,76.75,,,2.05
detr,sketch,s,40000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,40000,,2,5735432,,35.95,54.68,,,2.79
detr,sketch,s,40000,,4,5735432,,48.16,73.26,,,5.57
detr,sketch,s,40000,,8,5735432,,53.64,81.60,,,6.95
detr,sketch,s,50000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,50000,,2,5735432,,36.78,50.26,,,2.07
detr,sketch,s,50000,,4,5735432,,52.52,71.76,,,9.03
detr,sketch,s,50000,,8,5735432,,59.12,80.77,,,12.30
detr,sketch,s,60000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,60000,,2,5735432,,52.80,65.84,,,13.18
detr,sketch,s,60000,,4,5735432,,62.50,77.93,,,23.24
detr,sketch,s,60000,,8,5735432,,66.93,83.45,,,26.57
detr,sketch,s,70000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,70000,,2,5735432,,55.07,65.37,,,13.72
detr,sketch,s,70000,,4,5735432,,64.28,76.30,,,21.98
detr,sketch,s,70000,,8,5735432,,68.75,81.61,,,25.07
detr,sketch,s,80000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,80000,,2,5735432,,55.04,66.51,,,13.83
detr,sketch,s,80000,,4,5735432,,64.74,78.22,,,24.70
detr,sketch,s,80000,,8,5735432,,69.10,83.49,,,27.91
detr,sketch,s,90000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,90000,,2,5735432,,57.00,67.01,,,15.91
detr,sketch,s,90000,,4,5735432,,65.82,77.37,,,24.51
detr,sketch,s,90000,,8,5735432,,70.06,82.36,,,27.19
detr,sketch,s,100000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,100000,,2,5735432,,57.43,68.27,,,17.33
detr,sketch,s,100000,,4,5735432,,66.24,78.75,,,26.27
detr,sketch,s,100000,,8,5735432,,70.36,83.65,,,29.33
detr,sketch,s,110000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,110000,,2,5735432,,61.20,72.44,,,21.92
detr,sketch,s,110000,,4,5735432,,67.90,80.37,,,28.27
detr,sketch,s,110000,,8,5735432,,71.55,84.69,,,30.57
detr,sketch,s,120000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,120000,,2,5735432,,61.49,71.83,,,22.53
detr,sketch,s,120000,,4,5735432,,68.55,80.07,,,30.01
detr,sketch,s,120000,,8,5735432,,72.31,84.46,,,33.00
detr,sketch,s,130000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,130000,,2,5735432,,63.64,72.02,,,24.47
detr,sketch,s,130000,,4,5735432,,70.18,79.41,,,30.65
detr,sketch,s,130000,,8,5735432,,73.89,83.62,,,33.08
detr,sketch,s,140000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,140000,,2,5735432,,63.91,73.60,,,25.50
detr,sketch,s,140000,,4,5735432,,70.34,81.01,,,31.91
detr,sketch,s,140000,,8,5735432,,73.81,85.01,,,34.24
detr,sketch,s,150000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,150000,,2,5735432,,63.97,73.06,,,24.43
detr,sketch,s,150000,,4,5735432,,70.64,80.68,,,31.87
detr,sketch,s,150000,,8,5735432,,74.09,84.62,,,34.22
detr,sketch,s,160000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,160000,,2,5735432,,65.63,74.37,,,26.86
detr,sketch,s,160000,,4,5735432,,71.55,81.07,,,32.61
detr,sketch,s,160000,,8,5735432,,74.89,84.86,,,35.15
detr,sketch,s,170000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,170000,,2,5735432,,65.02,75.08,,,27.39
detr,sketch,s,170000,,4,5735432,,70.56,81.48,,,32.61
detr,sketch,s,170000,,8,5735432,,73.84,85.27,,,34.88
detr,sketch,s,180000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,180000,,2,5735432,,66.72,75.59,,,29.30
detr,sketch,s,180000,,4,5735432,,72.08,81.67,,,34.48
detr,sketch,s,180000,,8,5735432,,75.31,85.33,,,36.95
detr,sketch,s,190000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,190000,,2,5735432,,67.40,75.98,,,29.97
detr,sketch,s,190000,,4,5735432,,72.75,82.00,,,34.89
detr,sketch,s,190000,,8,5735432,,75.93,85.59,,,37.36
detr,sketch,s,200000,,0,5735432,,0.00,0.00,,,0.00
detr,sketch,s,200000,,2,5735432,,67.29,75.69,,,29.77
detr,sketch,s,200000,,4,5735432,,72.57,81.64,,,34.89
detr,sketch,s,200000,,8,5735432,,75.80,85.27,,,37.33
