iteration,nodes found @0 px (%),nodes right @0 px (%),records exactly right @0 px (%),nodes found @2 px (%),nodes right @2 px (%),records exactly right @2 px (%),nodes found @4 px (%),nodes right @4 px (%),records exactly right @4 px (%),nodes found @8 px (%),nodes right @8 px (%),records exactly right @8 px (%),nodes found @0 px (count),nodes right @0 px (count),records exactly right @0 px (count),nodes found @2 px (count),nodes right @2 px (count),records exactly right @2 px (count),nodes found @4 px (count),nodes right @4 px (count),records exactly right @4 px (count),nodes found @8 px (count),nodes right @8 px (count),records exactly right @8 px (count)
10000,0.0,0.0,0.0,5.0,17.0,0.0,15.0,51.1,0.0,24.7,83.9,0.0,0/7535,0/2219,0/1024,377/7535,377/2219,0/1024,1134/7535,1134/2219,0/1024,1862/7535,1862/2219,0/1024
20000,0.0,0.0,0.0,44.3,61.0,0.0,65.2,89.8,0.0,71.4,98.3,0.0,0/7535,0/5473,0/1024,3337/7535,3337/5473,0/1024,4915/7535,4915/5473,0/1024,5381/7535,5381/5473,0/1024
30000,0.0,0.0,0.0,54.3,74.7,0.0,69.8,96.0,0.0,72.1,99.1,0.0,0/7535,0/5480,0/1024,4093/7535,4093/5480,0/1024,5261/7535,5261/5480,0/1024,5430/7535,5430/5480,0/1024
40000,0.0,0.0,0.0,61.3,83.9,0.0,70.8,96.9,0.0,72.4,99.1,0.0,0/7535,0/5505,0/1024,4616/7535,4616/5505,0/1024,5332/7535,5332/5505,0/1024,5458/7535,5458/5505,0/1024
50000,0.0,0.0,0.0,66.6,91.4,0.0,72.0,98.8,0.0,72.7,99.8,0.0,0/7535,0/5488,0/1024,5015/7535,5015/5488,0/1024,5422/7535,5422/5488,0/1024,5475/7535,5475/5488,0/1024
60000,0.0,0.0,0.0,62.6,86.0,0.0,71.3,97.9,0.0,72.4,99.4,0.0,0/7535,0/5490,0/1024,4720/7535,4720/5490,0/1024,5372/7535,5372/5490,0/1024,5458/7535,5458/5490,0/1024
70000,0.0,0.0,0.0,80.7,93.4,0.0,85.7,99.2,0.0,86.3,99.8,0.0,0/7535,0/6509,0/1024,6079/7535,6079/6509,0/1024,6458/7535,6458/6509,0/1024,6499/7535,6499/6509,0/1024
80000,0.0,0.0,0.0,97.4,97.4,87.6,99.4,99.3,97.7,99.9,99.8,99.4,0/7535,0/7538,0/1024,7339/7535,7339/7538,897/1024,7487/7535,7487/7538,1000/1024,7525/7535,7525/7538,1018/1024
90000,0.0,0.0,0.0,98.7,98.8,94.5,99.6,99.6,99.1,99.8,99.9,99.4,0/7535,0/7531,0/1024,7438/7535,7438/7531,968/1024,7504/7535,7504/7531,1015/1024,7521/7535,7521/7531,1018/1024
100000,0.0,0.0,0.0,98.8,98.8,94.0,99.7,99.7,98.7,99.9,99.9,99.4,0/7535,0/7534,0/1024,7444/7535,7444/7534,963/1024,7510/7535,7510/7534,1011/1024,7528/7535,7528/7534,1018/1024
110000,0.0,0.0,0.0,99.1,99.2,96.5,99.7,99.8,99.2,99.9,99.9,99.5,0/7535,0/7532,0/1024,7468/7535,7468/7532,988/1024,7516/7535,7516/7532,1016/1024,7528/7535,7528/7532,1019/1024
120000,0.0,0.0,0.0,99.4,99.4,97.5,99.8,99.8,99.5,99.9,99.9,99.6,0/7535,0/7533,0/1024,7488/7535,7488/7533,998/1024,7521/7535,7521/7533,1019/1024,7528/7535,7528/7533,1020/1024
130000,0.0,0.0,0.0,99.4,99.4,97.5,99.7,99.8,99.1,99.9,99.9,99.8,0/7535,0/7534,0/1024,7488/7535,7488/7534,998/1024,7516/7535,7516/7534,1015/1024,7530/7535,7530/7534,1022/1024
140000,0.0,0.0,0.0,99.4,99.5,98.1,99.6,99.7,98.9,99.8,99.9,99.3,0/7535,0/7529,0/1024,7490/7535,7490/7529,1005/1024,7508/7535,7508/7529,1013/1024,7519/7535,7519/7529,1017/1024
150000,0.0,0.0,0.0,99.4,99.4,97.7,99.6,99.7,98.8,99.8,99.9,99.3,0/7535,0/7533,0/1024,7489/7535,7489/7533,1000/1024,7508/7535,7508/7533,1012/1024,7523/7535,7523/7533,1017/1024
