iteration,records the right length (%),nodes found @0 px (%),nodes right @0 px (%),relationships found @0 px (%),relationships right @0 px (%),records exactly right @0 px (%),nodes found @2 px (%),nodes right @2 px (%),relationships found @2 px (%),relationships right @2 px (%),records exactly right @2 px (%),nodes found @4 px (%),nodes right @4 px (%),relationships found @4 px (%),relationships right @4 px (%),records exactly right @4 px (%),nodes found @8 px (%),nodes right @8 px (%),relationships found @8 px (%),relationships right @8 px (%),records exactly right @8 px (%),records the right length (count),nodes found @0 px (count),nodes right @0 px (count),relationships found @0 px (count),relationships right @0 px (count),records exactly right @0 px (count),nodes found @2 px (count),nodes right @2 px (count),relationships found @2 px (count),relationships right @2 px (count),records exactly right @2 px (count),nodes found @4 px (count),nodes right @4 px (count),relationships found @4 px (count),relationships right @4 px (count),records exactly right @4 px (count),nodes found @8 px (count),nodes right @8 px (count),relationships found @8 px (count),relationships right @8 px (count),records exactly right @8 px (count)
10000,98.8,0.0,0.0,0.0,0.0,0.0,97.2,97.2,95.1,95.3,84.2,99.7,99.6,99.4,99.5,98.0,99.9,99.8,99.6,99.7,98.4,1012/1024,0/7535,0/7536,0/7535,0/7525,0/1024,7325/7535,7325/7536,7168/7535,7168/7525,862/1024,7509/7535,7509/7536,7488/7535,7488/7525,1004/1024,7524/7535,7524/7536,7506/7535,7506/7525,1008/1024
20000,99.4,0.0,0.0,0.0,0.0,0.0,98.5,98.5,97.6,97.7,91.5,99.7,99.7,99.5,99.6,98.7,99.9,99.9,99.7,99.8,99.2,1018/1024,0/7535,0/7536,0/7535,0/7530,0/1024,7422/7535,7422/7536,7355/7535,7355/7530,937/1024,7511/7535,7511/7536,7500/7535,7500/7530,1011/1024,7525/7535,7525/7536,7516/7535,7516/7530,1016/1024
30000,97.7,0.0,0.0,0.0,0.0,0.0,98.1,98.0,97.1,97.1,89.6,99.5,99.4,99.1,99.2,96.6,99.7,99.6,99.5,99.6,97.3,1000/1024,0/7535,0/7544,0/7535,0/7534,0/1024,7395/7535,7395/7544,7317/7535,7317/7534,918/1024,7496/7535,7496/7544,7470/7535,7470/7534,989/1024,7516/7535,7516/7544,7501/7535,7501/7534,996/1024
40000,99.6,0.0,0.0,0.0,0.0,0.0,98.8,98.8,98.2,98.2,94.4,99.7,99.7,99.6,99.7,99.1,99.9,99.9,99.8,99.8,99.4,1020/1024,0/7535,0/7537,0/7535,0/7532,0/1024,7447/7535,7447/7537,7400/7535,7400/7532,967/1024,7516/7535,7516/7537,7508/7535,7508/7532,1015/1024,7526/7535,7526/7537,7519/7535,7519/7532,1018/1024
50000,99.6,0.0,0.0,0.0,0.0,0.0,99.3,99.3,98.9,98.9,95.8,99.8,99.8,99.8,99.8,99.2,99.9,99.9,99.9,99.9,99.4,1020/1024,0/7535,0/7533,0/7535,0/7533,0/1024,7480/7535,7480/7533,7451/7535,7451/7533,981/1024,7521/7535,7521/7533,7517/7535,7517/7533,1016/1024,7528/7535,7528/7533,7526/7535,7526/7533,1018/1024
60000,99.6,0.0,0.0,0.0,0.0,0.0,99.4,99.4,99.1,99.1,96.5,99.8,99.9,99.8,99.8,99.2,99.9,99.9,99.8,99.9,99.3,1020/1024,0/7535,0/7533,0/7535,0/7531,0/1024,7490/7535,7490/7533,7464/7535,7464/7531,988/1024,7523/7535,7523/7533,7517/7535,7517/7531,1016/1024,7528/7535,7528/7533,7523/7535,7523/7531,1017/1024
70000,99.6,0.0,0.0,0.0,0.0,0.0,99.2,99.1,98.6,98.6,95.6,99.8,99.8,99.7,99.7,99.2,99.9,99.9,99.9,99.9,99.5,1020/1024,0/7535,0/7537,0/7535,0/7534,0/1024,7472/7535,7472/7537,7427/7535,7427/7534,979/1024,7520/7535,7520/7537,7513/7535,7513/7534,1016/1024,7531/7535,7531/7537,7528/7535,7528/7534,1019/1024
80000,99.8,0.0,0.0,0.0,0.0,0.0,99.3,99.3,99.0,99.0,97.1,99.8,99.8,99.7,99.7,99.5,99.9,99.9,99.9,99.9,99.7,1022/1024,0/7535,0/7536,0/7535,0/7534,0/1024,7481/7535,7481/7536,7461/7535,7461/7534,994/1024,7521/7535,7521/7536,7515/7535,7515/7534,1019/1024,7530/7535,7530/7536,7527/7535,7527/7534,1021/1024
90000,99.6,0.0,0.0,0.0,0.0,0.0,99.7,99.7,99.5,99.6,98.5,99.8,99.8,99.7,99.8,99.2,99.9,100.0,99.9,99.9,99.5,1020/1024,0/7535,0/7533,0/7535,0/7531,0/1024,7509/7535,7509/7533,7501/7535,7501/7531,1009/1024,7521/7535,7521/7533,7516/7535,7516/7531,1016/1024,7530/7535,7530/7533,7526/7535,7526/7531,1019/1024
100000,99.8,0.0,0.0,0.0,0.0,0.0,99.7,99.7,99.6,99.6,98.8,99.9,99.9,99.8,99.8,99.5,99.9,99.9,99.9,99.9,99.7,1022/1024,0/7535,0/7535,0/7535,0/7535,0/1024,7512/7535,7512/7535,7505/7535,7505/7535,1012/1024,7524/7535,7524/7535,7520/7535,7520/7535,1019/1024,7531/7535,7531/7535,7529/7535,7529/7535,1021/1024
110000,99.7,0.0,0.0,0.0,0.0,0.0,99.2,99.2,98.3,98.4,94.7,99.8,99.8,99.7,99.7,99.1,99.9,99.9,99.9,99.9,99.4,1021/1024,0/7535,0/7534,0/7535,0/7532,0/1024,7472/7535,7472/7534,7409/7535,7409/7532,970/1024,7520/7535,7520/7534,7512/7535,7512/7532,1015/1024,7529/7535,7529/7534,7525/7535,7525/7532,1018/1024
120000,99.8,0.0,0.0,0.0,0.0,0.0,99.5,99.6,99.2,99.3,97.6,99.9,99.9,99.8,99.8,99.4,100.0,100.0,99.9,99.9,99.7,1022/1024,0/7535,0/7534,0/7535,0/7533,0/1024,7501/7535,7501/7534,7477/7535,7477/7533,999/1024,7524/7535,7524/7534,7518/7535,7518/7533,1018/1024,7532/7535,7532/7534,7529/7535,7529/7533,1021/1024
130000,99.8,0.0,0.0,0.0,0.0,0.0,99.7,99.7,99.5,99.5,98.3,99.9,99.9,99.8,99.8,99.5,99.9,99.9,99.9,99.9,99.7,1022/1024,0/7535,0/7535,0/7535,0/7535,0/1024,7511/7535,7511/7535,7498/7535,7498/7535,1007/1024,7524/7535,7524/7535,7521/7535,7521/7535,1019/1024,7531/7535,7531/7535,7529/7535,7529/7535,1021/1024
140000,99.8,0.0,0.0,0.0,0.0,0.0,99.7,99.7,99.5,99.5,98.8,99.8,99.8,99.7,99.8,99.3,100.0,100.0,99.9,99.9,99.7,1022/1024,0/7535,0/7534,0/7535,0/7533,0/1024,7512/7535,7512/7534,7498/7535,7498/7533,1012/1024,7522/7535,7522/7534,7515/7535,7515/7533,1017/1024,7532/7535,7532/7534,7529/7535,7529/7533,1021/1024
150000,99.7,0.0,0.0,0.0,0.0,0.0,99.7,99.7,99.6,99.6,98.8,99.8,99.9,99.8,99.8,99.4,99.9,99.9,99.9,99.9,99.5,1021/1024,0/7535,0/7532,0/7535,0/7532,0/1024,7513/7535,7513/7532,7505/7535,7505/7532,1012/1024,7522/7535,7522/7532,7519/7535,7519/7532,1018/1024,7528/7535,7528/7532,7526/7535,7526/7532,1019/1024
