iteration,records the right length (%),nodes found @0 px (%),nodes right @0 px (%),relationships found @0 px (%),relationships right @0 px (%),records exactly right @0 px (%),nodes found @2 px (%),nodes right @2 px (%),relationships found @2 px (%),relationships right @2 px (%),records exactly right @2 px (%),nodes found @4 px (%),nodes right @4 px (%),relationships found @4 px (%),relationships right @4 px (%),records exactly right @4 px (%),nodes found @8 px (%),nodes right @8 px (%),relationships found @8 px (%),relationships right @8 px (%),records exactly right @8 px (%),records the right length (count),nodes found @0 px (count),nodes right @0 px (count),relationships found @0 px (count),relationships right @0 px (count),records exactly right @0 px (count),nodes found @2 px (count),nodes right @2 px (count),relationships found @2 px (count),relationships right @2 px (count),records exactly right @2 px (count),nodes found @4 px (count),nodes right @4 px (count),relationships found @4 px (count),relationships right @4 px (count),records exactly right @4 px (count),nodes found @8 px (count),nodes right @8 px (count),relationships found @8 px (count),relationships right @8 px (count),records exactly right @8 px (count)
10000,0.0,0.0,0.0,0.0,NaN,0.0,7.7,27.6,0.0,NaN,0.0,18.1,65.0,0.0,NaN,0.0,23.7,85.3,0.0,NaN,0.0,0/1024,0/7535,0/2094,0/7535,0/0,0/1024,578/7535,578/2094,0/7535,0/0,0/1024,1362/7535,1362/2094,0/7535,0/0,0/1024,1786/7535,1786/2094,0/7535,0/0,0/1024
20000,39.8,0.0,0.0,0.0,0.0,0.0,52.0,54.0,32.6,39.0,1.4,80.1,83.3,64.2,76.8,16.5,92.9,96.6,80.7,96.4,37.0,408/1024,0/7535,0/7247,0/7535,0/6302,0/1024,3917/7535,3917/7247,2457/7535,2457/6302,14/1024,6037/7535,6037/7247,4841/7535,4841/6302,169/1024,7002/7535,7002/7247,6078/7535,6078/6302,379/1024
30000,93.5,0.0,0.0,0.0,0.0,0.0,78.8,79.3,66.9,67.5,27.9,97.3,97.8,95.5,96.3,84.7,99.1,99.7,98.8,99.6,92.8,957/1024,0/7535,0/7493,0/7535,0/7469,0/1024,5939/7535,5939/7493,5043/7535,5043/7469,286/1024,7329/7535,7329/7493,7194/7535,7194/7469,867/1024,7468/7535,7468/7493,7441/7535,7441/7469,950/1024
40000,97.7,0.0,0.0,0.0,0.0,0.0,91.6,91.6,85.7,86.0,59.4,99.1,99.1,98.4,98.7,93.7,99.7,99.7,99.4,99.7,96.5,1000/1024,0/7535,0/7539,0/7535,0/7510,0/1024,6902/7535,6902/7539,6457/7535,6457/7510,608/1024,7469/7535,7469/7539,7414/7535,7414/7510,959/1024,7514/7535,7514/7539,7491/7535,7491/7510,988/1024
50000,20.2,0.0,0.0,0.0,0.0,0.0,71.3,77.2,53.0,69.8,4.9,87.0,94.3,70.8,93.2,15.3,91.0,98.5,74.9,98.7,19.2,207/1024,0/7535,0/6955,0/7535,0/5721,0/1024,5371/7535,5371/6955,3991/7535,3991/5721,50/1024,6558/7535,6558/6955,5333/7535,5333/5721,157/1024,6854/7535,6854/6955,5647/7535,5647/5721,197/1024
60000,31.9,0.0,0.0,0.0,0.0,0.0,69.4,73.6,51.4,64.4,7.3,86.8,92.1,71.9,90.1,25.0,90.9,96.4,76.6,96.0,30.8,327/1024,0/7535,0/7105,0/7535,0/6012,0/1024,5228/7535,5228/7105,3871/7535,3871/6012,75/1024,6542/7535,6542/7105,5414/7535,5414/6012,256/1024,6846/7535,6846/7105,5771/7535,5771/6012,315/1024
70000,86.0,0.0,0.0,0.0,0.0,0.0,84.6,85.3,73.1,76.2,36.0,96.6,97.4,91.9,95.8,77.1,98.5,99.3,95.0,99.1,84.5,881/1024,0/7535,0/7471,0/7535,0/7226,0/1024,6371/7535,6371/7471,5505/7535,5505/7226,369/1024,7279/7535,7279/7471,6923/7535,6923/7226,789/1024,7419/7535,7419/7471,7159/7535,7159/7226,865/1024
80000,95.8,0.0,0.0,0.0,0.0,0.0,94.8,94.9,91.3,92.0,71.8,99.1,99.2,98.3,99.0,93.0,99.6,99.7,99.0,99.6,95.0,981/1024,0/7535,0/7530,0/7535,0/7483,0/1024,7144/7535,7144/7530,6881/7535,6881/7483,735/1024,7466/7535,7466/7530,7405/7535,7405/7483,952/1024,7504/7535,7504/7530,7456/7535,7456/7483,973/1024
90000,97.9,0.0,0.0,0.0,0.0,0.0,96.8,96.9,94.6,95.1,82.9,99.5,99.5,98.8,99.3,96.0,99.8,99.9,99.4,99.9,97.6,1002/1024,0/7535,0/7533,0/7535,0/7498,0/1024,7296/7535,7296/7533,7130/7535,7130/7498,849/1024,7496/7535,7496/7533,7444/7535,7444/7498,983/1024,7522/7535,7522/7533,7487/7535,7487/7498,999/1024
100000,95.2,0.0,0.0,0.0,0.0,0.0,95.9,96.0,92.4,93.6,77.3,99.0,99.2,97.7,98.9,93.0,99.5,99.7,98.4,99.6,94.5,975/1024,0/7535,0/7522,0/7535,0/7443,0/1024,7224/7535,7224/7522,6964/7535,6964/7443,792/1024,7460/7535,7460/7522,7360/7535,7360/7443,952/1024,7498/7535,7498/7522,7415/7535,7415/7443,968/1024
